Título:,Autor:,Editora:,Número de Cópias:,Status:
A Menina que Roubava Livros,Markus Zusak,Intrínseca,25,Disponível
Senhor Dos Anéis,J. R. R. Tolkien,Martin Fontes,20,Disponível
Coração de Tinta,Cornelia Funke,Seguinte,150,Disponível
Ladrão de Raios,Rick Riordan,Intrínseca,7,Disponível
A Droga da Obediência,Pedro Bandeira,Moderna,25,Disponível
A Droga do Amor,Pedro Bandeira,Moderna,20,Emprestado
Pântano de Sangue,Pedro Bandeira,Moderna,6,Disponível
Droga de Americana!,Pedro Bandeira,Moderna,8,Emprestado
A Droga da Amizade,Pedro Bandeira,Moderna,9,Disponível
A Sombra do Vento,Carlos Ruiz Zafón,Suma,10,Disponível
O Mar de Monstros,Rick Riordan,Intrínseca,5,Disponível
A Maldição do Titã,Rick Riordan,Intrínseca,8,Emprestado
A Batalha do Labirinto,Rick Riordan,Intrínseca,6,Disponível
Arquivos dos Semideuses,Rick Riordan,Intrínseca,9,Disponível
O Último Olimpiano,Rick Riordan,Intrínseca,4,Disponível
As Crônicas de Nárnia,C.S. Lewis,Martins Fontes,4,Emprestado
As Crônicas de Spiderwick,Holly Black,Editora Rocco,3,Emprestado
Cartas do Diabo ao seu aprendiz,C.S. Lewis,Thomas Nelson Brasil,3,Emprestado
A Hospedeira,Stephenie Meyer,Intrínseca,7,Emprestado
Under the Dome,Stephen King,Scribner Book Company,8,Emprestado
Temperamento transformado,Tim LaHaye,Mundo Cristão,30,Disponível
Promessas vazias ,Lexi Ryan,Planeta Minotauro,100,Disponível
De sangue e cinzas,Jennifer L. Armentrout,Grupo Editoral Record,25,Emprestado
Lua nova,Stephenie Meyer,Intrínseca,10,Disponível
O código da Vinci,Dan Brown,Arqueiro,7,Emprestado
Romeu e Julieta,William Shakespeare,Editora do Brasil S/A,40,Emprestado
Hyde,Daniel Levine,Mariner Books,20,Emprestado
O homem de giz,C.J Tudor,Intrínseca,80,Disponível
É assim que acaba ,Colleen Hoover,Grupo Editoral Record,50,Disponível
Ansiosos no amor,Jessica Baum,Sextante,55,Disponível
Harry Potter Pedra Filosofal,J.K. Rowling,Roco,2,Disponível
Homem Aranha Miles Morales,gerry Conway,Primeira Edição,1,Disponível
Harry Potter e a Câmara Secreta,J.K. Rowling,Roco,8,Emprestado
Harry Potter e o Prisoneiro de Azkaban,J.K. Rowling,Roco,5, Emprestado
Harry Potter e as Relíquias da Morte,J.K. Rowling,roco,5,Emprestado
Harry Potter Cálice de Fogo,J.K. Rowling,roco,2,Disponível
Guerra Civil,Moore Stourt,Novo Século Primeiro,3,Disponível
Capitã Marvel Acensão da Starforce,Steve Behling,Excelsior 2,Disponível
Deadpool,Stefan Petrucha,Panini,7,Emprestado
Pequeno Príncipe,Antoine de Saint-Exupéry,Grupo Companhia das Letras,10,Disponível
The Invention of Morel,Adolfo Bioy Casares,New York Review Books Classics,24,Emprestado
The Hearing Trumpet,Leonora Carrington,Exact Change,40,Disponível
The Slynx,Tatyana Tolstaya,New York Review Books Classics,21,Disponível
The Loser,Thomas Bernhard,Vintage,15,Disponível
The Tartar Steppe,Dino Buzzati,Eridanos Press,14,Disponível
The Tunnel,Ernesto Sabato,Penguin Classics,74,Emprestado
The Rings of Saturn,W.G. Sebald,New Directions,26,Disponível
A Tale for the Time Being,Ruth Ozeki,Penguin Books,74,Disponível
The Mezzanine,Nicholson Baker,Vintage Contemporaries,17,Disponível
Life: A User's Manual,Georges Perec,David R. Godine,75,Emprestado